category,character,morse
Punctuation,.,.-.-.-
Punctuation,",",--..--
Punctuation,?,..--..
Punctuation,',.----.
Punctuation,/,-..-.
Punctuation,(,-.--.
Punctuation,),-.--.-
Punctuation,:,---...
Punctuation,=,-...-
Punctuation,+,.-.-.
Punctuation,-,-....-
Punctuation,QUOT,.-..-.
Punctuation,@,.--.-.
Numbers,0,-----
Numbers,1,.----
Numbers,2,..---
Numbers,3,...--
Numbers,4,....-
Numbers,5,.....
Numbers,6,-....
Numbers,7,--...
Numbers,8,---..
Numbers,9,----.
Nonstandard,!,-.-.--
Nonstandard,&,.-...
punctuation[h],;,-.-.-.
punctuation[h],_,..--.-
Nonstandard,$,...-..-
non-Latin[h],À,.--.-
non-Latin[h],Ä,.-.-
non-Latin[h],Å,.--.-
non-Latin[h],Ą,.-.-
non-Latin[h],Æ,.-.-
non-Latin[h],Ć,-.-..
non-Latin[h],Ĉ,-.-..
non-Latin[h],Ç,-.-..
non-Latin[h],Đ,..-..
non-Latin[h],Ð,..--.
non-Latin,É,..-..
non-Latin[h],È,.-..-
non-Latin[h],Ę,..-..
non-Latin[h],Ĝ,--.-.
non-Latin[h],Ĥ,----
non-Latin[h],Ĵ,.---.
non-Latin[h],Ł,.-..-
non-Latin[h],Ń,--.--
non-Latin[h],Ñ,--.--
non-Latin[h],Ó,---.
non-Latin[h],Ö,---.
non-Latin[h],Ø,---.
non-Latin[h],Ś,...-...
non-Latin[h],Ŝ,...-.
non-Latin[h],Š,----
non-Latin[h],Þ,.--..
non-Latin[h],Ü,..--
non-Latin[h],Ŭ,..--
non-Latin[h],Ź,--..-.
non-Latin[h],Ż,--..-
Letters,A,.-
Letters,B,-...
Letters,C,-.-.
Letters,D,-..
Letters,E,.
Letters,F,..-.
Letters,G,--.
Letters,H,....
Letters,I,..
Letters,J,.---
Letters,K,-.-
Letters,L,.-..
Letters,M,--
Letters,N,-.
Letters,O,---
Letters,P,.--.
Letters,Q,--.-
Letters,R,.-.
Letters,S,...
Letters,T,-
Letters,U,..-
Letters,V,...-
Letters,W,.--
Letters,X,-..-
Letters,Y,-.--
Letters,Z,--..